ID,age,C_job,C_dokki,C_education,C_default,balance,C_housing,C_loan,C_contact,Day,C_month,duration,campaign,pdays,previous,C_poutcome,flg
37123,30,2,2,2,0,975,1,0,1,13,5,256,2,351,2,0,0
38677,37,2,3,2,0,625,1,0,1,15,5,68,4,359,2,0,0
37058,37,2,3,2,0,719,1,0,1,13,5,118,1,365,1,0,0
37442,49,8,2,2,0,2409,1,0,1,13,5,272,4,293,2,0,0
37320,43,7,3,2,0,484,1,0,1,13,5,180,2,173,6,0,0
38930,41,1,3,2,0,1967,1,0,1,18,5,115,1,341,1,0,0
38491,41,2,3,2,0,2540,1,0,1,15,5,82,2,366,1,0,0
37829,48,2,3,2,0,65,1,0,1,14,5,146,1,370,1,0,0
39165,35,2,3,2,0,164,1,0,1,18,5,11,5,364,13,0,0
38406,49,1,3,2,0,132,1,0,1,15,5,98,1,350,1,0,0
38397,39,3,2,2,0,680,1,0,1,15,5,135,1,361,2,0,0
39111,27,10,3,2,0,21,1,0,1,18,5,336,1,356,1,0,0
38492,48,2,2,2,0,480,1,0,1,15,5,830,1,352,2,0,1
38683,40,1,3,2,0,952,1,0,1,15,5,126,2,333,1,0,0
37298,44,2,3,2,0,338,1,0,1,13,5,133,1,370,1,0,0
40828,33,1,3,2,0,661,1,0,1,11,8,108,1,99,7,0,0
38394,44,2,2,2,0,167,1,0,1,15,5,79,2,373,1,0,0
37184,35,1,2,2,0,34,1,0,1,13,5,249,2,365,3,0,0
37118,33,10,2,2,0,221,1,0,1,13,5,669,1,355,4,0,1
37601,31,8,2,2,0,179,1,0,1,14,5,365,1,351,1,0,0
37101,58,2,2,2,0,6004,1,0,1,13,5,133,1,274,6,0,0
40083,38,3,3,2,0,1190,1,0,1,4,6,81,2,391,3,0,1
38396,27,8,2,2,0,311,1,0,1,15,5,50,1,352,1,0,0
38264,42,1,3,2,0,-106,1,0,1,15,5,495,1,347,3,0,0
37833,35,8,3,2,0,221,1,0,1,14,5,150,1,360,1,0,0
38212,33,8,3,2,0,1156,1,0,1,15,5,612,1,177,2,0,0
37103,35,2,2,2,0,1831,1,0,1,13,5,96,2,358,2,0,0
37453,57,2,2,2,0,25,1,0,1,13,5,378,2,359,1,0,0
38045,55,1,3,2,0,-288,1,0,1,14,5,62,4,352,2,0,0
38160,47,2,3,2,0,1480,1,0,1,15,5,144,1,365,1,0,0
38393,39,3,2,2,0,2139,1,0,1,15,5,576,4,371,1,0,1
37200,32,2,2,2,0,1779,1,0,1,13,5,191,1,342,2,0,0
38906,40,3,2,2,0,285,0,0,1,18,5,261,1,178,1,0,0
38196,60,1,3,2,0,174,1,0,1,15,5,241,1,364,1,0,0
38155,34,2,3,2,0,176,1,0,1,15,5,67,1,368,5,0,0
37618,39,2,2,2,0,49,1,0,1,14,5,566,1,370,2,0,0
37526,35,10,2,2,0,-255,1,0,1,13,5,196,3,265,2,0,0
38235,27,2,2,2,0,484,1,0,1,15,5,210,1,361,2,0,0
38470,33,2,2,2,0,1,1,0,1,15,5,67,4,178,3,0,0
37112,31,7,2,2,0,131,1,0,1,13,5,294,1,370,1,0,0
38385,25,10,2,2,0,691,1,0,1,15,5,333,1,330,2,0,0
37171,27,2,3,2,0,0,1,0,2,13,5,363,1,359,3,0,0
40378,48,1,3,2,0,0,1,1,1,23,6,248,1,89,1,0,0
37657,43,2,2,2,0,117,1,0,1,14,5,73,1,370,1,0,0
38034,35,2,2,2,0,911,1,0,1,14,5,136,2,175,7,0,0
38189,29,2,2,2,0,368,1,0,1,15,5,345,1,310,7,0,0
38188,39,2,2,2,0,1102,1,0,1,15,5,124,1,357,3,0,0
38204,33,3,2,2,0,1996,1,0,1,15,5,72,2,178,1,0,0
37643,38,1,2,2,0,66,1,0,1,14,5,51,1,365,7,0,0
37704,48,1,3,2,0,-407,1,0,1,14,5,210,2,352,1,0,0
38388,34,2,2,2,0,2994,1,0,1,15,5,358,1,176,1,0,0
38236,43,8,2,2,0,-1,1,0,1,15,5,51,1,311,2,0,0
37425,45,2,2,2,0,577,1,0,1,13,5,154,2,350,3,0,0
37937,49,2,2,2,0,1039,1,0,1,14,5,156,2,178,1,0,0
38181,26,8,2,2,0,77,1,0,1,15,5,619,1,340,4,0,1
38150,28,8,2,2,0,511,1,0,1,15,5,274,1,319,5,0,0
38085,38,7,2,2,0,215,1,0,1,14,5,115,2,175,2,0,0
39597,52,10,2,2,0,195,1,0,1,26,5,145,1,98,2,0,0
37380,34,2,2,2,0,467,1,0,1,13,5,195,2,357,2,0,0
37026,33,1,2,2,0,17,1,0,1,13,5,74,1,351,1,0,0
37328,37,2,2,2,0,513,1,0,1,13,5,134,1,362,3,0,0
38687,27,1,2,2,0,1417,1,0,1,15,5,143,2,343,3,0,0
37417,39,1,2,2,0,9618,1,0,1,13,5,94,2,338,1,0,0
38125,47,1,2,2,0,175,1,0,1,15,5,236,4,262,7,0,0
38658,35,7,2,2,0,-56,1,0,1,15,5,162,2,361,3,0,0
38670,46,8,2,2,0,-119,1,0,1,15,5,138,2,297,3,0,0
37386,40,2,2,2,0,125,1,0,1,13,5,119,2,370,1,0,0
38668,32,2,2,2,0,9714,1,0,1,15,5,1237,2,361,2,0,0
38938,27,10,2,2,0,876,1,0,1,18,5,268,1,355,1,0,0
37106,35,2,2,2,0,233,1,0,1,13,5,66,1,176,1,0,0
37757,41,2,2,2,0,580,1,0,1,14,5,874,1,363,1,0,1
37896,35,10,2,2,0,222,1,0,1,14,5,165,5,177,7,0,0
38127,42,2,2,2,0,680,1,0,1,15,5,306,4,365,2,0,0
38094,33,2,2,2,0,101,1,0,1,15,5,235,2,361,4,0,0
37558,32,2,2,2,0,822,1,0,1,14,5,19,8,366,6,0,0
37362,39,10,2,2,0,4741,1,0,1,13,5,166,1,338,10,0,0
37305,30,1,2,2,0,396,1,0,1,13,5,366,3,348,2,0,1
38498,40,1,2,2,0,2574,1,0,1,15,5,432,1,176,1,0,1
38154,25,1,2,2,0,541,1,0,1,15,5,607,1,344,4,0,0
38591,54,1,3,2,0,-394,1,0,1,15,5,895,5,365,2,0,0
40217,43,3,3,2,0,3780,1,0,1,9,6,67,2,202,3,0,0
37403,37,2,2,2,0,426,1,0,1,13,5,323,3,345,3,0,0
37990,31,7,2,2,0,581,1,0,1,14,5,303,3,174,3,0,0
38537,45,11,2,2,0,-407,1,0,1,15,5,320,3,371,2,0,0
38165,34,2,2,2,0,-257,1,0,1,15,5,160,1,368,4,0,0
37262,32,8,2,2,0,28,1,0,1,13,5,88,1,370,1,0,0
38798,38,10,3,2,0,1559,1,0,1,18,5,22,6,179,10,0,0
38569,33,1,2,2,0,1293,1,0,1,15,5,245,9,373,2,0,0
37913,37,2,2,2,0,561,1,0,1,14,5,632,1,339,2,0,0
37174,50,4,2,2,0,7317,1,0,1,13,5,172,1,370,1,0,0
37293,37,2,2,2,0,0,1,0,1,13,5,54,1,300,1,0,0
37705,54,6,2,2,0,1139,1,0,1,14,5,155,1,177,7,0,0
38215,37,2,2,2,0,222,1,0,1,15,5,7,6,357,1,0,0
37742,60,2,2,2,0,1407,1,0,1,14,5,112,1,370,1,0,0
38334,39,8,2,2,0,3165,1,0,1,15,5,56,1,368,2,0,0
38410,54,11,2,2,0,582,1,0,1,15,5,693,5,372,2,0,1
37014,57,6,3,2,0,-663,1,0,1,13,5,210,1,351,2,0,0
37297,41,1,2,2,0,158,1,0,1,13,5,426,1,50,2,0,0
38323,56,10,2,2,0,276,1,0,1,15,5,301,1,368,1,0,0
37836,45,2,2,2,0,87,1,0,1,14,5,96,1,360,3,0,0
38993,29,1,2,2,0,22171,1,0,1,18,5,44,1,355,3,0,0
37933,38,2,2,2,0,1407,1,0,1,14,5,169,3,174,7,0,0
37727,42,3,2,2,0,718,1,0,1,14,5,201,2,365,2,0,0
37160,33,5,2,2,0,350,1,0,1,13,5,205,1,350,2,0,0
37741,46,2,2,2,0,431,1,0,1,14,5,157,4,367,1,0,0
38643,33,5,2,2,0,1423,1,0,1,15,5,333,2,364,3,0,0
38431,29,2,2,2,0,339,1,0,1,15,5,63,3,354,2,0,0
37339,37,2,2,2,0,198,1,0,1,13,5,156,5,369,2,0,0
38417,34,5,2,2,0,-285,1,0,1,15,5,192,1,276,3,0,0
38248,47,8,2,2,0,1474,1,0,1,15,5,77,1,368,3,0,0
37743,34,2,2,2,0,175,1,0,1,14,5,50,2,364,2,0,0
37788,39,2,2,2,0,-220,1,0,1,14,5,282,1,352,2,0,0
37676,37,10,2,2,0,720,1,0,1,14,5,365,6,36,3,0,0
37020,55,6,2,2,0,918,1,0,1,13,5,87,3,364,1,0,0
39006,58,2,2,2,0,1859,1,0,1,18,5,277,2,264,5,0,0
41120,36,1,2,2,0,953,1,0,1,17,8,80,1,81,2,0,0
37830,33,2,2,2,0,249,1,0,1,14,5,7,7,287,4,0,0
37767,36,5,2,2,0,1825,1,0,1,14,5,24,1,346,1,0,0
38380,29,8,2,2,0,6567,1,0,1,15,5,792,2,298,1,0,1
37006,36,2,2,2,0,1088,1,0,1,13,5,77,2,345,2,0,0
39081,32,1,2,2,0,3540,1,0,1,18,5,213,1,178,1,0,0
38335,23,2,2,2,0,-295,1,0,1,15,5,411,1,323,2,0,0
37692,28,2,2,2,0,373,1,0,1,14,5,10,9,344,1,0,0
38473,41,8,2,2,0,2399,1,0,1,15,5,303,2,351,2,0,0
37832,28,10,2,2,0,58,1,0,1,14,5,16,6,351,1,0,0
37300,33,8,2,2,0,162,1,0,1,13,5,135,1,364,2,0,0
37633,32,2,2,2,0,1914,1,0,1,14,5,532,1,358,1,0,0
38011,35,10,2,2,0,650,1,0,1,14,5,241,2,349,2,0,0
38587,30,10,2,2,0,-910,1,0,1,15,5,124,2,298,1,0,0
38667,34,1,2,2,0,-297,1,0,1,15,5,92,4,353,3,0,0
37359,38,8,2,2,0,780,1,0,1,13,5,262,1,343,5,0,0
38680,29,1,2,2,0,252,1,0,1,15,5,1223,3,371,1,0,0
41019,50,4,3,2,0,0,0,0,2,13,8,43,1,105,2,0,0
37678,40,11,2,2,0,270,1,0,1,14,5,255,2,345,1,0,0
38857,32,7,2,2,0,-33,1,0,1,18,5,158,1,355,3,0,0
38301,31,1,2,2,0,685,1,0,1,15,5,552,1,329,3,0,1
37942,33,2,2,2,0,43,1,0,1,14,5,332,2,358,2,0,0
37617,35,2,3,2,0,-566,1,0,1,14,5,151,2,353,2,0,0
37224,44,2,2,2,0,1311,1,0,1,13,5,184,1,364,1,0,0
37955,29,2,2,2,0,64,1,0,1,14,5,444,2,366,3,0,0
37728,33,2,2,2,0,687,1,0,1,14,5,72,2,370,1,0,0
38672,36,1,2,2,0,2278,1,0,1,15,5,200,3,298,1,0,0
37475,45,10,3,2,0,809,1,0,1,13,5,155,2,363,4,0,0
37702,50,2,2,2,0,-581,1,0,1,14,5,877,2,345,5,0,0
38864,27,8,2,2,0,54,1,0,1,18,5,97,1,370,1,0,0
37125,42,2,2,2,0,2157,1,0,1,13,5,149,1,364,2,0,0
38564,55,8,2,2,0,841,1,0,1,15,5,140,9,372,4,0,0
38002,54,2,2,2,0,-135,1,0,1,14,5,152,3,370,2,0,0
38187,31,1,2,2,0,122,1,0,1,15,5,49,1,364,1,0,0
39685,60,4,3,2,0,2063,0,0,1,27,5,95,1,99,2,0,0
39000,33,1,2,2,0,48,1,0,1,18,5,164,5,294,3,0,0
39223,34,2,2,2,0,355,1,0,1,18,5,189,3,348,3,0,0
38524,29,2,2,2,0,-114,1,0,1,15,5,132,2,359,2,0,0
37531,35,8,3,2,0,78,1,0,2,13,5,630,3,371,3,0,0
40978,37,10,2,2,0,24,1,0,1,13,8,136,1,105,2,0,0
37029,32,5,1,3,0,7444,1,1,1,13,5,22,1,370,1,0,0
38724,42,10,2,3,0,-378,1,1,1,15,5,11,7,330,2,0,0
39528,33,10,1,3,0,109,1,1,1,25,5,601,2,10,7,0,1
39546,30,10,1,3,0,411,0,0,1,26,5,111,1,35,1,0,0
39370,32,10,1,3,0,1625,0,0,1,22,5,796,1,109,1,0,1
40870,36,5,1,3,0,3850,1,0,1,12,8,239,2,100,4,0,1
39723,30,7,1,3,0,48,0,0,1,27,5,144,2,187,1,0,0
40063,33,10,1,3,0,154,0,0,1,4,6,111,2,78,2,0,0
37348,27,3,2,3,0,79,1,1,1,13,5,201,1,369,3,0,0
38267,28,2,1,3,0,1372,0,0,1,15,5,48,4,298,1,0,0
37434,39,5,1,3,0,93,1,1,1,13,5,196,2,331,3,0,0
39987,29,5,1,3,0,637,1,0,1,3,6,340,1,119,1,0,1
41158,57,6,2,3,0,1458,0,0,1,19,8,250,1,107,5,0,0
38520,31,5,2,3,0,527,1,1,1,15,5,98,2,359,1,0,0
39517,29,1,2,3,0,238,0,0,1,25,5,344,2,88,1,0,1
37248,34,5,1,3,0,76,1,0,1,13,5,747,2,371,3,0,1
40894,34,5,1,3,0,48,1,0,1,12,8,810,3,93,6,0,1
37246,25,10,1,3,0,1954,1,1,1,13,5,66,1,351,1,0,0
40891,37,1,1,3,0,3954,1,0,1,12,8,87,1,117,2,0,0
40148,24,5,1,3,0,1004,1,0,1,5,6,133,1,67,2,0,0
39992,33,8,1,3,0,1268,1,0,1,3,6,2219,1,28,2,0,0
39626,36,1,1,3,0,635,0,0,1,26,5,80,1,102,1,0,0
41027,30,5,2,3,0,877,0,0,1,13,8,202,1,83,5,0,0
40842,32,2,1,3,0,60,1,1,1,11,8,248,2,462,1,0,0
39533,32,5,2,3,0,937,0,0,1,26,5,61,1,190,1,0,0
39715,25,1,1,3,0,760,1,0,1,27,5,223,3,89,2,0,1
37358,35,5,1,3,0,1396,1,0,1,13,5,809,1,300,1,0,1
39810,49,5,1,3,0,493,0,0,1,1,6,161,1,39,1,0,0
37903,31,5,1,3,0,0,1,1,1,14,5,117,3,352,3,0,0
37333,37,5,1,3,0,0,1,0,1,13,5,109,1,344,1,0,0
38645,32,5,1,3,0,6248,1,0,1,15,5,64,3,371,2,0,0
39761,26,5,1,3,0,1274,1,0,1,1,6,190,1,84,1,0,0
38748,34,2,1,3,0,-303,1,0,1,18,5,17,5,355,2,0,0
40995,42,5,1,3,0,3371,1,1,1,13,8,284,1,92,2,0,0
39884,56,8,3,2,0,935,0,0,1,2,6,136,1,96,3,0,0
39472,36,5,1,3,0,1379,0,0,1,25,5,189,1,186,1,0,1
38260,45,7,2,3,0,-497,1,1,1,15,5,217,1,176,1,0,0
38886,31,5,1,3,0,62,1,0,1,18,5,175,1,293,5,0,0
40801,42,8,1,3,0,94,1,0,1,11,8,176,2,90,4,0,1
39513,36,10,2,3,0,911,1,1,1,25,5,117,2,21,3,0,1
40789,34,7,2,3,0,2427,0,0,2,11,8,90,3,70,3,0,0
37530,42,8,3,2,0,83,0,0,1,13,5,300,5,358,6,0,0
40350,49,5,1,3,0,7443,0,0,2,19,6,293,5,211,2,0,1
39854,36,5,1,3,0,688,0,0,1,2,6,126,1,120,1,0,0
40952,32,10,1,3,0,696,0,1,1,13,8,101,4,105,4,0,0
39364,46,5,1,3,0,6651,0,0,1,22,5,114,1,60,1,0,0
38614,30,1,3,2,0,891,0,0,1,15,5,340,2,368,1,0,0
37252,36,2,3,2,0,52,1,0,1,13,5,152,1,348,1,0,0
40759,28,2,1,3,0,1984,1,0,1,10,8,89,1,98,3,0,0
40580,34,10,1,3,0,144,1,1,1,21,7,213,3,89,16,0,0
37011,34,5,1,3,0,7263,1,0,2,13,5,38,1,37,1,0,0
38655,39,5,1,3,0,11971,1,0,2,15,5,75,10,179,5,0,0
37149,32,10,2,3,0,1503,1,1,1,13,5,44,1,278,2,0,0
39699,43,5,2,3,0,1336,1,1,1,27,5,82,2,309,1,0,0
39946,34,1,2,3,0,21,0,1,1,2,6,269,1,92,2,0,0
40484,33,5,1,3,0,1160,1,1,1,7,7,139,1,391,2,0,0
38263,35,1,3,2,0,534,0,0,1,15,5,669,1,312,3,0,1
39986,39,10,2,3,0,794,0,0,2,3,6,116,2,121,1,0,0
37342,40,8,3,2,0,282,1,0,1,13,5,240,1,300,1,0,0
38996,48,1,3,2,0,-480,0,0,1,18,5,380,2,355,1,0,0
38729,32,5,1,3,0,6542,1,0,1,15,5,1598,4,175,5,0,1
38710,27,1,1,3,0,3672,1,0,1,15,5,157,2,351,5,0,0
39799,60,5,2,3,0,261,1,1,1,1,6,128,1,192,1,0,0
38981,27,10,2,3,0,8,1,1,1,18,5,398,1,370,2,0,0
41176,39,10,1,3,0,139,0,0,2,19,8,328,1,79,1,0,0
39174,30,8,3,2,0,1336,1,0,1,18,5,13,3,355,5,0,0
41020,30,5,1,3,0,499,1,0,1,13,8,92,2,90,1,0,0
37017,40,5,1,3,0,406,1,0,1,13,5,130,1,371,1,0,0
37377,36,5,1,3,0,181,1,0,1,13,5,159,2,278,4,0,0
41060,26,10,1,3,0,777,1,0,1,14,8,260,2,463,1,0,0
37397,37,8,1,3,0,72,1,0,1,13,5,98,2,370,1,0,0
38792,30,5,2,3,0,1022,1,0,1,18,5,97,2,298,1,0,0
38411,29,9,1,3,0,80,1,0,1,15,5,15,5,361,1,0,0
39008,33,10,1,3,0,8047,1,0,1,18,5,202,1,263,13,0,0
40417,50,5,3,3,0,405,0,0,1,2,7,146,1,91,6,0,0
36999,38,10,1,3,0,876,1,0,1,13,5,5,7,355,4,0,0
38576,40,5,2,3,0,-1212,1,0,1,15,5,1259,2,333,18,0,0
38588,39,10,1,3,0,1674,0,0,1,15,5,12,10,178,1,0,0
37713,29,5,1,3,0,21,1,0,1,14,5,107,4,371,3,0,0
39588,26,1,1,3,0,2170,1,0,1,26,5,81,1,29,1,0,0
38145,36,7,1,3,0,577,1,0,1,15,5,33,1,298,1,0,0
38200,34,5,1,3,0,11350,1,0,1,15,5,153,1,176,1,0,0
37668,31,7,1,3,0,17924,1,0,1,14,5,745,1,174,3,0,1
37046,33,5,3,3,0,312,1,1,1,13,5,23,1,359,3,0,0
39116,21,9,1,3,0,2764,1,0,1,18,5,78,2,354,2,0,0
38195,38,4,3,3,0,4312,0,0,1,15,5,67,4,175,6,0,0
39560,31,5,1,3,0,816,1,0,1,26,5,302,1,40,1,0,0
39526,32,10,1,3,0,705,1,0,1,25,5,414,2,35,4,0,1
38211,34,5,1,3,0,4782,1,0,1,15,5,160,1,277,1,0,0
41123,26,5,1,3,0,828,1,0,1,17,8,156,1,199,1,0,1
37852,35,5,1,3,0,478,1,0,1,14,5,107,1,265,2,0,0
37765,26,10,1,3,0,468,1,0,1,14,5,221,2,364,1,0,0
38173,33,5,1,3,0,7419,1,0,1,15,5,21,8,331,29,0,0
38016,30,3,1,3,0,303,1,0,1,14,5,176,2,365,4,0,0
38237,36,10,1,3,0,391,1,0,1,15,5,185,1,350,8,0,0
40815,60,10,2,3,0,6573,1,0,1,11,8,75,1,274,1,0,0
41165,35,10,1,3,0,2658,1,0,1,19,8,768,2,141,3,0,1
40835,55,6,2,3,0,357,1,0,1,11,8,526,1,103,1,0,0
38840,32,5,2,3,0,477,1,0,2,18,5,87,6,178,5,0,0
40634,53,5,2,3,0,1356,1,0,1,5,8,397,2,93,2,0,0
40600,44,5,2,3,0,1646,1,0,1,29,7,292,6,251,1,0,0
40752,33,5,2,3,0,22867,1,0,1,10,8,73,1,440,2,0,0
39456,60,6,3,3,0,439,0,1,1,25,5,464,1,321,1,0,1
40084,41,5,3,3,0,3426,0,0,1,4,6,102,2,297,3,0,1
40202,38,5,2,3,0,1354,1,0,1,8,6,127,3,130,2,0,0
40235,29,10,2,3,0,858,1,0,1,12,6,234,7,330,1,0,0
41116,35,5,1,3,0,431,0,0,1,17,8,343,2,397,1,0,1
37810,53,5,2,3,0,261,1,0,2,14,5,154,2,336,2,0,0
40896,35,5,2,3,0,2088,1,0,1,12,8,94,1,51,3,0,0
38276,31,10,1,3,0,4561,1,0,1,15,5,301,1,274,2,0,0
38273,32,1,1,3,0,1531,1,0,1,15,5,58,1,352,5,0,0
39896,49,10,2,3,0,523,1,0,1,2,6,712,1,60,3,0,1
39217,31,10,1,3,0,-241,1,0,1,18,5,333,2,355,1,0,0
39193,35,5,1,3,0,-292,1,0,1,18,5,166,2,272,6,0,0
38126,30,5,1,3,0,872,1,0,1,15,5,61,1,298,2,0,0
40784,45,5,2,3,0,3857,1,0,1,11,8,425,2,190,1,0,0
37838,34,5,1,3,0,28,1,0,1,14,5,175,1,358,2,0,0
37882,32,5,1,3,0,499,1,0,1,14,5,182,1,339,2,0,0
37542,26,8,1,3,0,130,1,0,1,14,5,24,7,302,1,0,0
40056,42,5,2,3,0,2665,1,0,1,4,6,280,2,126,11,0,1
38691,51,5,1,3,0,297,1,0,1,15,5,415,4,375,1,0,1
38065,31,9,1,3,0,2030,1,0,1,14,5,168,2,351,2,0,0
37281,36,5,2,3,0,481,1,0,1,13,5,215,1,175,3,0,0
37000,31,1,1,3,0,253,1,0,1,13,5,82,5,355,4,0,0
39377,33,5,2,3,0,81,1,0,1,22,5,104,1,186,1,0,0
39891,45,5,2,3,0,273,1,0,1,2,6,163,1,95,2,0,0
38285,26,9,1,3,0,641,1,0,1,15,5,55,1,368,1,0,0
38534,34,5,1,3,0,2360,1,0,1,15,5,137,2,176,1,0,0
37799,33,5,1,3,0,-149,1,0,1,14,5,111,1,296,3,0,0
40346,34,5,2,3,0,2374,1,1,1,18,6,270,2,314,2,0,1
38218,32,10,1,3,0,388,1,0,1,15,5,58,1,266,2,0,0
39720,28,5,2,3,0,1109,1,0,1,27,5,89,4,310,5,0,0
37627,31,2,1,3,0,328,1,0,1,14,5,414,1,175,1,0,0
40009,58,5,2,3,0,2261,1,0,1,3,6,1361,1,391,1,0,0
38944,36,5,1,3,0,1496,1,0,1,18,5,40,1,269,4,0,0
40762,32,7,1,3,0,1815,0,0,2,10,8,235,1,102,2,0,1
40159,38,5,2,3,0,1187,1,1,1,5,6,76,2,123,1,0,0
40138,34,8,1,3,0,88,0,0,1,5,6,206,1,99,1,0,0
40753,32,5,1,3,0,935,0,0,1,10,8,161,2,375,5,0,1
38247,31,10,1,3,0,699,1,0,1,15,5,282,4,277,4,0,0
39128,34,3,1,3,0,1068,1,0,1,18,5,46,6,378,2,0,0
39465,26,9,1,3,0,5169,1,0,1,25,5,397,1,35,2,0,1
38505,29,10,1,3,0,940,1,0,1,15,5,757,1,330,1,0,0
38848,32,5,1,3,0,347,1,0,1,18,5,213,1,264,6,0,0
39321,40,5,2,3,0,198,1,0,1,18,5,214,5,364,8,0,0
37546,31,5,2,3,0,22546,1,0,1,14,5,8,6,267,4,0,0
40929,44,10,2,3,0,1818,1,1,1,12,8,120,1,104,1,0,0
37194,29,5,1,3,0,0,1,0,1,13,5,155,1,351,1,0,0
40523,31,5,1,3,0,307,0,0,1,8,7,361,1,229,2,0,1
40848,33,5,1,3,0,312,0,0,1,11,8,271,1,369,3,0,0
38872,33,3,2,3,0,964,1,0,1,18,5,97,1,180,3,0,0
37075,50,5,3,3,0,100,1,1,1,13,5,157,1,299,3,0,0
37687,35,5,1,3,0,-146,1,0,1,14,5,279,1,266,1,0,0
40887,61,5,1,3,0,2,0,0,1,12,8,131,1,114,3,0,1
37914,40,5,1,3,0,2258,1,0,1,14,5,115,3,287,2,0,0
38174,33,10,1,3,0,849,1,0,1,15,5,128,2,291,5,0,0
40043,38,5,2,3,0,7255,1,0,1,3,6,78,2,44,2,0,0
39208,29,3,1,3,0,219,1,0,1,18,5,76,2,356,1,0,0
39476,28,10,1,3,0,0,1,0,1,25,5,269,1,40,2,0,1
38851,33,5,1,3,0,2667,1,0,1,18,5,57,1,180,3,0,0
41061,37,5,2,3,0,332,1,0,1,14,8,190,2,84,7,0,0
38740,32,5,2,3,0,91,0,0,1,18,5,126,2,356,2,0,0
39868,47,5,2,3,0,1147,0,0,1,2,6,654,1,95,1,0,1
39022,30,5,2,3,0,168,1,0,1,18,5,229,2,355,1,0,0
40077,43,5,2,3,0,2987,0,0,1,4,6,156,1,85,3,0,1
40702,41,1,2,3,0,1536,0,0,1,7,8,273,1,95,2,0,1
37414,38,5,2,3,0,0,1,0,1,13,5,537,5,303,2,0,0
38646,41,5,2,3,0,30,1,0,1,15,5,101,4,291,6,0,0
41050,54,6,2,3,0,1778,0,0,1,14,8,319,1,268,2,0,0
40787,83,6,2,3,0,6236,0,0,1,11,8,155,1,190,2,0,0
38252,31,10,2,3,0,-256,1,0,1,15,5,272,1,365,5,0,0
37844,38,5,2,3,0,89,1,0,1,14,5,71,1,360,10,0,0
41093,39,10,2,3,0,11766,1,0,1,14,8,313,4,102,5,0,0
39381,30,5,2,3,0,877,0,0,1,22,5,122,2,108,3,0,0
37524,49,3,2,3,0,4976,1,0,1,13,5,36,9,173,1,0,0
41081,44,5,2,3,0,226,1,0,1,14,8,190,3,270,3,0,1
39390,49,11,2,3,0,377,0,0,1,22,5,158,1,59,2,0,0
39861,45,5,2,3,0,1788,0,0,1,2,6,177,2,301,2,0,0
40470,40,8,2,3,0,35,0,0,1,3,7,318,4,317,3,0,0
